model,cv_f1_macro_mean,cv_f1_macro_std,cv_precision_macro_mean,cv_precision_weighted_mean,cv_recall_macro_mean,cv_recall_lt30_mean,cv_accuracy_mean,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_lt30,test_f1_macro,test_auc_ovr_macro
LogisticRegression,0.4176073021045088,0.0027804934230238176,0.42936954379492276,0.5320540301172132,0.4455315228081932,0.4178351093662367,0.47770613656633565,0.4779148829010325,0.43112888466507576,0.5336652054768523,0.4479884060711348,0.42857142857142855,0.41827125934913084,0.6424680233968728
XGBoost,0.4126718733618473,0.0042463593613011625,0.5329558051827801,0.5654382781186925,0.4240553941768141,0.041951766685361755,0.5894651310359509,0.5906824477461596,0.5370343683028996,0.5675448599065416,0.4236098829655725,0.03504043126684636,0.4103153908316455,0.6811588055741958
RandomForest,0.3859969076594945,0.00221135333794637,0.5027541737239982,0.5469814743932322,0.40692041265646656,0.013796971396522714,0.5793888306073592,0.5811130697557291,0.5118274458770184,0.5512954118845276,0.4086387077489167,0.012578616352201259,0.38750431628790966,0.6539289911982337
