model,cv_f1_macro_mean,cv_f1_macro_std,cv_precision_macro_mean,cv_precision_weighted_mean,cv_recall_macro_mean,cv_recall_lt30_mean,cv_accuracy_mean
LogisticRegression,0.4176073021045088,0.0027804934230238176,0.42936954379492276,0.5320540301172132,0.4455315228081932,0.4178351093662367,0.47770613656633565
XGBoost,0.4126718733618473,0.0042463593613011625,0.5329558051827801,0.5654382781186925,0.4240553941768141,0.041951766685361755,0.5894651310359509
RandomForest,0.3859969076594945,0.00221135333794637,0.5027541737239982,0.5469814743932322,0.40692041265646656,0.013796971396522714,0.5793888306073592
